X Acceleration (m/s^2), Y Acceleration (m/s^2), Z Acceleration (m/s^2), Time (milliseconds)
-3.4641, -1.1319, 9.809999, 6173
-2.6943, -1.1319, 8.2404, 6217
-3.4641, -0.7546, 10.9872, 6263
-3.0792, -0.7546, 9.4176, 6295
-2.6943, -0.3773, 9.809999, 6343
-2.6943, -0.7546, 10.2024, 6373
-2.6943, -0.3773, 9.0252, 6419
-2.6943, -0.7546, 9.0252, 6467
-3.0792, 0, 10.2024, 6498
-2.6943, -1.1319, 9.0252, 6544
-2.6943, -0.7546, 9.809999, 6575
-2.6943, -0.3773, 9.809999, 6621
-3.0792, 0, 9.809999, 6669
-3.0792, -0.7546, 9.4176, 6700
-3.849, 0, 9.809999, 6746
-4.2339, 0, 9.809999, 6777
-3.849, -0.3773, 9.0252, 6824
-4.6188, 0, 8.6328, 6871
-4.6188, -1.1319, 8.2404, 6903
-4.2339, -1.5092, 8.6328, 6949
-5.3886, -0.3773, 9.809999, 6980
-4.6188, -1.1319, 8.2404, 7026
-2.3094, -1.1319, 8.2404, 7073
-2.6943, -0.7546, 9.0252, 7104
-1.1547, -0.3773, 8.2404, 7150
-0.3849, 0, 8.6328, 7181
0.3849, 0, 9.809999, 7226
0, 0.3773, 10.2024, 7276
0.7698, 0.7546, 9.809999, 7306
0.7698, 0.7546, 10.5948, 7353
1.5396, -0.3773, 10.5948, 7383
1.5396, -0.3773, 9.809999, 7431
1.9245, 0.7546, 9.809999, 7476
1.5396, 0.3773, 10.2024, 7507
1.5396, 1.5092, 9.809999, 7552
1.5396, 0.7546, 10.2024, 7584
1.1547, 0.3773, 10.2024, 7630
0.7698, 0.3773, 10.2024, 7678
0.7698, 1.1319, 10.5948, 7709
0.7698, 0, 10.2024, 7755
0.3849, 1.1319, 10.5948, 7786
0, 1.1319, 10.2024, 7832
0.3849, 0.3773, 9.4176, 7879
0.3849, 0.7546, 9.4176, 7910
0.3849, 0.3773, 9.809999, 7973
0, 0.7546, 10.2024, 7988
0, 0.7546, 10.2024, 8035
-0.3849, 0.7546, 10.2024, 8083
0, 0.3773, 9.809999, 8113
0, 0.3773, 9.809999, 8160
0, 0.3773, 9.809999, 8191
0.3849, 0.3773, 9.809999, 8242
0.3849, 0.3773, 9.809999, 8283
0.3849, 0.3773, 9.809999, 8314
0.3849, 0.7546, 9.809999, 8362
0.3849, 0.3773, 10.2024, 8394
0.7698, 0.7546, 9.809999, 8439
1.1547, 0.3773, 9.809999, 8487
2.6943, 0.7546, 10.2024, 8517
4.2339, 0.3773, 10.9872, 8564
6.9282, 1.1319, 11.772, 8595
8.4678, 1.1319, 10.9872, 8641
9.2376, 1.8865, 10.5948, 8689
8.0829, 1.8865, 9.4176, 8719
3.4641, 1.5092, 6.6708, 8766
-4.6188, -1.1319, 4.3164, 8797
-10.7772, -2.6411, 5.4936, 8842
-13.4715, -4.1503, 7.4556, 8889
-11.547, 0, 13.3416, 8920
-6.9282, -0.3773, 10.9872, 8966
-4.6188, -1.5092, 10.2024, 9015
-3.0792, -2.6411, 9.4176, 9043
-1.9245, -2.2638, 9.0252, 9090
-2.3094, -1.1319, 10.2024, 9121
-1.9245, -1.1319, 9.4176, 9168
-1.5396, -0.7546, 9.0252, 9198
-1.9245, -1.1319, 9.809999, 9245
-1.5396, -1.1319, 10.2024, 9292
-1.9245, -1.1319, 9.809999, 9323
-1.5396, -0.7546, 9.4176, 9370
-1.5396, -0.7546, 10.2024, 9403
-1.5396, -0.7546, 9.0252, 9448
-1.5396, -0.3773, 9.4176, 9494
-1.5396, -1.5092, 9.809999, 9526
-1.5396, -1.1319, 9.809999, 9573
-1.9245, -0.7546, 9.809999, 9604
-1.5396, -1.1319, 9.809999, 9650
-1.9245, -1.1319, 9.4176, 9697
-1.9245, -0.7546, 9.0252, 9728
-1.9245, -1.5092, 9.809999, 9774
-1.9245, -1.1319, 9.809999, 9807
-3.0792, 0, 10.5948, 9850
-3.4641, -0.3773, 9.809999, 9897
-3.4641, -0.3773, 9.809999, 9928
-3.4641, -1.1319, 9.4176, 9975
-2.3094, -0.3773, 8.2404, 10005
-2.6943, 0, 10.2024, 10052
-2.3094, 0, 8.6328, 10100
-0.7698, 0, 8.6328, 10131
-0.7698, 0.7546, 9.0252, 10177
0, 0.3773, 10.2024, 10210
1.1547, 0.7546, 8.2404, 10257
1.1547, 0, 9.809999, 10290
1.1547, 0.7546, 9.809999, 10335
1.5396, 0, 10.5948, 10383
1.1547, 0.3773, 10.9872, 10413
2.3094, -0.3773, 10.5948, 10458
2.3094, 0, 10.5948, 10489
2.6943, 0.7546, 10.5948, 10537
2.6943, 1.8865, 11.3796, 10584
1.9245, 1.1319, 9.4176, 10615
0.7698, 0.7546, 9.809999, 10661
2.3094, -0.7546, 10.2024, 10692
1.9245, 1.1319, 9.4176, 10755
2.3094, 0.7546, 10.2024, 10785
2.3094, 0.7546, 9.4176, 10817
1.9245, 1.5092, 9.4176, 10863
1.5396, 1.5092, 9.4176, 10895
1.5396, 1.5092, 8.6328, 10941
1.1547, 1.8865, 9.4176, 10988
1.5396, 1.1319, 9.0252, 11019
1.1547, 1.5092, 10.2024, 11064
0.7698, 1.5092, 10.2024, 11098
1.1547, 1.5092, 9.809999, 11142
1.5396, 1.5092, 9.809999, 11191
1.5396, 1.5092, 9.4176, 11222
2.3094, 1.8865, 9.4176, 11269
3.849, 1.5092, 9.809999, 11301
6.9282, 1.5092, 9.4176, 11348
10.3923, 0.7546, 10.5948, 11379
13.8564, 0, 12.5568, 11425
13.0866, 0.7546, 11.3796, 11487
4.2339, 0.7546, 10.2024, 11502
-3.849, -3.773, 5.1012, 11566
-15.7809, -2.6411, 7.0632, 11597
-20.3997, 5.6595, 9.809999, 11627
