-0.35, 0, 9.8, 3
-0.35, 0, 9.8, 38
-0.35, 0, 9.8, 88
-0.35, 0.35, 9.8, 118
-0.35, 0, 9.8, 180
-0.35, 0.35, 9.8, 200
-0.35, 0, 9.8, 256
-0.35, 0.35, 9.8, 287
-0.7, 0, 9.8, 334
-0.35, 0, 9.8, 380
-0.35, 0, 9.8, 413
-0.35, 0, 9.8, 457
-0.35, 0, 9.8, 487
-0.35, 0.35, 9.8, 535
0, 0.35, 9.8, 566
-0.7, 0, 9.8, 613
-0.7, 0, 9.45, 644
-0.35, 0.7, 9.8, 691
0, 0.35, 10.15, 722
0, 0, 9.45, 769
0, 0.35, 10.15, 815
3.15, 0.35, 10.5, 847
2.45, 0, 12.6, 893
4.55, 0.7, 12.25, 926
7.35, 2.45, 9.45, 972
2.1, 1.05, 5.95, 1018
-2.1, 4.9, 4.9, 1050
-8.75, 0.35, 9.099999, 1093
-12.95, -3.5, 11.55, 1126
-7, 1.4, 8.4, 1172
-2.8, 1.05, 10.5, 1220
-3.85, 0, 10.15, 1251
-1.75, 1.4, 9.45, 1297
-1.4, 0.7, 9.45, 1328
-2.8, 0.35, 10.15, 1375
-1.75, 0.35, 9.8, 1422
-1.75, 0.35, 9.099999, 1453
-2.1, -0.35, 9.45, 1498
-1.75, 0, 9.45, 1529
-1.4, 0.7, 9.45, 1576
-1.4, 0.35, 9.8, 1624
-2.1, 0.35, 9.8, 1654
-1.4, 0.35, 9.8, 1702
-2.1, 0.35, 9.45, 1731
-1.75, 0, 10.15, 1778
-1.75, 0.35, 9.8, 1825
-1.75, 0.35, 9.8, 1856
