C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
5538,0,0,0
5553,0,0,0
5568,0,0,0
5584,0,0,0
5602,0,0,0
5615,0,0,0
5631,0,0,0
5645,0,0,0
5661,0,0,0
5676,0,0,0
5691,0,0,0
5708,0,0,0
5722,0,0,0
5737,0,0,0
5753,0,0,0
5768,0,0,0
5783,0,0,0
5799,0,0,0
5835,0,0,0
5844,0,0,0
5861,0,0,0
5877,0,0,0
5892,0,0,0
5923,0,0,0
5941,0,0,0
5954,0,0,0
5969,0,0,0
5985,0,0,0
5999,0,0,0
6015,0,0,0
6031,0,0,0
6050,0,0,0
6062,0,0,0
6077,0,0,0
6091,0,0,0
6107,0,0,0
6122,0,0,0
6138,0,0,0
6156,0,0,0
6169,0,0,0
6184,0,0,0
6200,0,0,0
6215,0,0,0
6231,0,0,0
6246,0,0,0
6263,0,0,0
6277,0,0,0
6292,0,0,0
6308,0,0,0
6324,0,0,0
6340,0,0,0
6355,0,0,0
6373,0,0,0
6387,0,0,0
6402,0,0,0
6418,0,0,0
6432,0,0,0
6448,0,0,0
6463,0,0,0
6482,0,0,0
6494,0,0,0
6510,0,0,0
6524,0,0,0
6539,0,0,0
6551,0,0,0
6570,0,0,0
6590,0,0,0
6602,0,0,0
6617,0,0,0
6633,0,0,0
6648,0,0,0
6664,0,0,0
6680,0,0,0
6698,0,0,0
6711,0,0,0
6727,0,0,0
6743,0,0,0
6753,0,0,0
6774,0,0,0
6790,0,0,0
6809,0,0,0
6821,0,0,0
6836,0,0,0
6852,0,0,0
6867,0,0,0
6883,0,0,0
6898,0,0,0
6916,0,0,0
6929,0,0,0
6944,0,0,0
6960,0,0,0
6975,0,0,0
6991,0,0,0
7006,0,0,0
7024,0,0,0
7037,0,0,0
7053,0,0,0
7068,0,0,0
7084,0,0,0
7100,0,0,0
7115,0,0,0
7134,0,0,0
7146,0,0,0
7161,0,0,0
7176,0,0,0
7193,0,0,0
7208,0,0,0
7224,0,0,0
7242,0,0,0
7256,0,0,0
7271,0,0,0
7286,0,0,0
7301,0,0,0
7317,0,0,0
7332,0,0,0
7360,0,0,0
7364,0,0,0
7380,0,0,0
7395,0,0,0
7411,0,0,0
7427,0,0,0
7443,0,0,0
7463,0,0,0
7473,0,0,0
7489,0,0,0
7504,0,0,0
7519,0,0,0
7535,0,0,0
7552,0,0,0
7571,0,0,0
7583,0,0,0
7599,0,0,0
7614,0,0,0
7630,0,0,0
7646,0,0,0
7662,0,0,0
7681,0,0,0
7694,0,0,0
7710,0,0,0
7726,0,0,0
7741,0,0,0
7756,0,0,0
7772,0,0,0
7790,0,0,0
7803,0,0,0
7818,0,0,0
7834,0,0,0
7849,0,0,0
7865,0,0,0
7881,0,0,0
7900,0,0,0
7912,0,0,0
7927,0,0,0
7943,0,0,0
7959,0,0,0
7974,0,0,0
7989,0,0,0
8007,0,0,0
8020,0,0,0
8035,0,0,0
8051,0,0,0
8066,0,0,0
8082,0,0,0
8098,0,0,0
8115,0,0,0
8130,0,0,0
8145,0,0,0
8160,0,0,0
8175,0,0,0
8191,0,0,0
8207,0,0,0
8226,0,0,0
8239,0,0,0
8255,0,0,0
8270,0,0,0
8286,0,0,0
8301,0,0,0
8317,0,0,0
8336,0,0,0
8347,0,0,0
8363,0,0,0
8378,0,0,0
8394,0,0,0
8409,0,0,0
8424,0,0,0
8443,0,0,0
8456,0,0,0
8472,0,0,0
8487,0,0,0
8502,0,0,0
8518,0,0,0
8534,0,0,0
8554,0,0,0
8580,0,0,0
8595,0,0,0
8611,0,0,0
8642,0,0,0
8663,0,0,0
8673,0,0,0
8689,0,0,0
8704,0,0,0
8736,0,0,0
8751,0,0,0
8777,0,0,0
8799,0,0,0
8814,0,0,0
8830,0,0,0
8846,0,0,0
8862,0,0,0
8881,0,0,0
8892,0,0,0
8908,0,0,0
8924,0,0,0
8940,0,0,0
8955,0,0,0
8971,0,0,0
8990,0,0,0
9003,0,0,0
9032,0,0,0
9048,0,0,0
9063,0,0,0
9079,0,0,0
9080,0,0,0
9107,0,0,0
9118,0,0,0
9130,0,0,0
9157,0,0,0
9163,0,0,0
9189,0,0,0
9205,0,0,0
9210,0,0,0
9221,0,0,0
9237,0,0,0
9253,0,0,0
9269,0,0,0
9284,0,0,0
9300,0,0,0
9318,0,0,0
9331,0,0,0
9346,0,0,0
9361,0,0,0
9393,0,0,0
9423,0,0,0
9441,0,0,0
9453,0,0,0
9464,0,0,0
9484,0,0,0
9500,0,0,0
9516,0,0,0
9532,0,0,0
9549,6500,0,0
9562,6500,0,0
9577,6500,0,0
9593,6500,0,0
9608,6500,0,0
9623,6500,0,0
9638,6500,0,0
9657,6500,0,0
9670,6500,0,0
9685,6500,0,0
9701,6500,0,0
9717,6500,0,0
9721,6500,0,0
9741,6500,0,0
9764,6500,0,0
9777,6500,0,0
9792,6500,0,0
9807,6500,0,0
9823,6500,0,0
9838,6500,0,0
9854,6500,0,0
9873,6500,0,0
9885,6500,0,0
9901,6500,0,0
9916,6500,6,0.1255493
9932,6500,6,0.1255493
9947,6500,6,0.1255493
9962,6500,6,0.1255493
9989,6500,6,0.1255493
9993,6500,6,0.1255493
10008,6500,6,0.1255493
10023,6500,6,0.1255493
10039,6500,6,0.1255493
10054,6500,6,0.1255493
10070,6500,6,0.1255493
10089,6500,6,0.1255493
10101,6500,6,0.1255493
10117,6500,19,0.2720234
10132,6500,19,0.2720234
10148,6500,19,0.2720234
10163,6500,19,0.2720234
10175,6500,19,0.2720234
10198,6500,19,0.2720234
10209,6500,19,0.2720234
10225,6500,19,0.2720234
10240,6500,19,0.2720234
10255,6500,19,0.2720234
10271,6500,19,0.2720234
10287,6500,19,0.2720234
10306,6500,19,0.2720234
10319,6500,32,0.2720234
10335,6500,32,0.2720234
10350,6500,32,0.2720234
10365,6500,32,0.2720234
10381,6500,32,0.2720234
10396,6500,32,0.2720234
10416,6500,32,0.2720234
10427,6500,32,0.2720234
10442,6500,32,0.2720234
10459,6500,32,0.2720234
10474,6500,32,0.2720234
10491,6500,32,0.2720234
10506,6500,32,0.2720234
10527,6500,46,0.2929483
10537,6500,46,0.2929483
10554,6500,46,0.2929483
10568,6500,46,0.2929483
10583,6500,46,0.2929483
10599,6500,46,0.2929483
10614,6500,46,0.2929483
10632,6500,46,0.2929483
10645,6500,46,0.2929483
10660,6500,46,0.2929483
10676,6500,46,0.2929483
10692,6500,46,0.2929483
10708,6500,46,0.2929483
10723,6500,59,0.2720234
10744,6500,59,0.2720234
10755,6500,59,0.2720234
10770,6500,59,0.2720234
10786,6500,59,0.2720234
10802,6500,59,0.2720234
10818,6500,59,0.2720234
10833,6500,59,0.2720234
10851,6500,59,0.2720234
10864,6500,59,0.2720234
10879,6500,59,0.2720234
10894,6500,59,0.2720234
10911,6500,59,0.2720234
10927,6500,59,0.2720234
10942,6500,73,0.2929483
10962,6500,73,0.2929483
10973,6500,73,0.2929483
10989,6500,73,0.2929483
11003,6500,73,0.2929483
11019,6500,73,0.2929483
11034,6500,73,0.2929483
11050,6500,73,0.2929483
11068,6500,73,0.2929483
11080,6500,73,0.2929483
11095,6500,73,0.2929483
11127,6500,73,0.2929483
11140,6500,86,0.2720234
11157,6500,86,0.2720234
11172,6500,86,0.2720234
11192,6500,86,0.2720234
11203,6500,86,0.2720234
11218,6500,86,0.2720234
11221,6500,86,0.2720234
11242,6500,86,0.2720234
11263,6500,86,0.2720234
11279,6500,86,0.2720234
11299,6500,86,0.2720234
11310,6500,86,0.2720234
11339,6500,99,0.2720234
11342,6500,99,0.2720234
11358,6500,99,0.2720234
11374,6500,99,0.2720234
11389,6500,99,0.2720234
11409,6500,99,0.2720234
11421,6500,99,0.2720234
11436,6500,99,0.2720234
11451,6500,99,0.2720234
11466,6500,99,0.2720234
11482,6500,99,0.2720234
11499,6500,99,0.2720234
11521,6500,99,0.2720234
11542,6500,112,0.2720234
11546,6500,112,0.2720234
11562,6500,112,0.2720234
11578,6500,112,0.2720234
11582,6500,112,0.2720234
11608,6500,112,0.2720234
11631,6500,112,0.2720234
11640,6500,112,0.2720234
11655,6500,112,0.2720234
11670,6500,112,0.2720234
11686,6500,112,0.2720234
11701,6500,112,0.2720234
11732,6500,126,0.2929483
11740,6500,126,0.2929483
11766,6500,126,0.2929483
11780,6500,126,0.2929483
11795,6500,126,0.2929483
11812,6500,126,0.2929483
11827,6500,126,0.2929483
11847,6500,126,0.2929483
11858,6500,126,0.2929483
11869,6500,126,0.2929483
11890,6500,126,0.2929483
11906,6500,126,0.2929483
11923,6500,126,0.2929483
11955,6500,139,0.2720234
11969,6500,139,0.2720234
11985,6500,139,0.2720234
11987,6500,139,0.2720234
12017,6500,139,0.2720234
12032,6500,139,0.2720234
12048,6500,139,0.2720234
12068,6500,139,0.2720234
12078,6500,139,0.2720234
12094,6500,139,0.2720234
12110,6500,139,0.2720234
12127,6500,139,0.2720234
12140,6500,152,0.2720234
12156,6500,152,0.2720234
12174,6500,152,0.2720234
12187,6500,152,0.2720234
12202,6500,152,0.2720234
12217,6500,152,0.2720234
12234,6500,152,0.2720234
12249,6500,152,0.2720234
12253,6500,152,0.2720234
12285,6500,152,0.2720234
12295,6500,152,0.2720234
12311,6500,152,0.2720234
12338,6500,166,0.2929483
12341,6500,166,0.2929483
12356,6500,166,0.2929483
12372,6500,166,0.2929483
12396,6500,166,0.2929483
12405,6500,166,0.2929483
12420,6500,166,0.2929483
12436,6500,166,0.2929483
12452,6500,166,0.2929483
12467,6500,166,0.2929483
12483,6500,166,0.2929483
12501,6500,166,0.2929483
12515,6500,166,0.2929483
12543,6500,179,0.2720234
12546,6500,179,0.2720234
12561,6500,179,0.2720234
12577,6500,179,0.2720234
12593,6500,179,0.2720234
12613,6500,179,0.2720234
12623,6500,179,0.2720234
12640,6500,179,0.2720234
12655,6500,179,0.2720234
12671,6500,179,0.2720234
12686,6500,179,0.2720234
12702,6500,179,0.2720234
12719,6500,179,0.2720234
12743,6500,192,0.2720234
12747,6500,192,0.2720234
12762,6500,192,0.2720234
12777,6500,192,0.2720234
12793,6500,192,0.2720234
12807,6500,192,0.2720234
12827,6500,192,0.2720234
12838,6500,192,0.2720234
12853,6500,192,0.2720234
12870,6500,192,0.2720234
12885,6500,192,0.2720234
12902,6500,192,0.2720234
12918,6500,192,0.2720234
12950,6500,206,0.2929483
12964,6500,206,0.2929483
12979,6500,206,0.2929483
12995,6500,206,0.2929483
13011,6500,206,0.2929483
13027,6500,206,0.2929483
13050,6500,206,0.2929483
13059,6500,206,0.2929483
13075,6500,206,0.2929483
13091,6500,206,0.2929483
13107,6500,206,0.2929483
13123,6500,206,0.2929483
13139,6500,206,0.2929483
13159,6500,219,0.2720234
13170,6500,219,0.2720234
13187,6500,219,0.2720234
13200,6500,219,0.2720234
13217,6500,219,0.2720234
13232,6500,219,0.2720234
13247,6500,219,0.2720234
13266,6500,219,0.2720234
13269,6500,219,0.2720234
13292,6500,219,0.2720234
13308,6500,219,0.2720234
13325,6500,219,0.2720234
13340,6500,219,0.2720234
13360,6500,232,0.2720234
13374,6500,232,0.2720234
13387,6500,232,0.2720234
13402,6500,232,0.2720234
13417,6500,232,0.2720234
13434,6500,232,0.2720234
13448,6500,232,0.2720234
13463,6500,232,0.2720234
13481,6500,232,0.2720234
13494,6500,232,0.2720234
13509,6500,232,0.2720234
13525,6500,232,0.2720234
13540,6500,232,0.2720234
13555,6500,246,0.2929483
13570,6500,246,0.2929483
13590,6500,246,0.2929483
13601,6500,246,0.2929483
13617,6500,246,0.2929483
13632,6500,246,0.2929483
13647,6500,246,0.2929483
13664,6500,246,0.2929483
13679,6500,246,0.2929483
13700,6500,246,0.2929483
13711,6500,246,0.2929483
13727,6500,246,0.2929483
13743,6500,246,0.2929483
13759,6500,246,0.2929483
13775,6500,259,0.2720234
13790,6500,259,0.2720234
13811,6500,259,0.2720234
13822,6500,259,0.2720234
13839,6500,259,0.2720234
13853,6500,259,0.2720234
13869,6500,259,0.2720234
13884,6500,259,0.2720234
13900,6500,259,0.2720234
13919,6500,259,0.2720234
13930,6500,259,0.2720234
13946,6500,259,0.2720234
13963,6500,272,0.2720234
13972,6500,272,0.2720234
13992,6500,272,0.2720234
14008,6500,272,0.2720234
14024,6500,272,0.2720234
14038,6500,272,0.2720234
14052,6500,272,0.2720234
14071,6500,272,0.2720234
14086,6500,272,0.2720234
14102,6500,272,0.2720234
14117,6500,272,0.2720234
14133,6500,272,0.2720234
14149,6500,272,0.2720234
14164,6500,286,0.2929483
14175,6500,286,0.2929483
14196,6500,286,0.2929483
14212,6500,286,0.2929483
14228,6500,286,0.2929483
14251,6500,286,0.2929483
14253,6500,286,0.2929483
14275,6500,286,0.2929483
14291,6500,286,0.2929483
14307,6500,286,0.2929483
14322,6500,286,0.2929483
14338,6500,286,0.2929483
14358,6500,286,0.2929483
14371,6500,299,0.2720234
14386,6500,299,0.2720234
14396,6500,299,0.2720234
14417,6500,299,0.2720234
14434,6500,299,0.2720234
14450,6500,299,0.2720234
14472,6500,299,0.2720234
14480,6500,299,0.2720234
14497,6500,299,0.2720234
14512,6500,299,0.2720234
14528,6500,299,0.2720234
14544,6500,299,0.2720234
14561,6500,299,0.2720234
14579,6500,312,0.2720234
14585,6500,312,0.2720234
14597,6500,312,0.2720234
14617,6500,312,0.2720234
14630,6500,312,0.2720234
14654,6500,312,0.2720234
14662,6500,312,0.2720234
14679,6500,312,0.2720234
14695,6500,312,0.2720234
14709,6500,312,0.2720234
14734,6500,312,0.2720234
14749,6500,312,0.2720234
14759,6500,312,0.2720234
14774,6500,326,0.2929483
14791,6500,326,0.2929483
14805,6500,326,0.2929483
14818,6500,326,0.2929483
14831,6500,326,0.2929483
14857,6500,326,0.2929483
14870,6500,326,0.2929483
14883,6500,326,0.2929483
14906,6500,326,0.2929483
14915,6500,326,0.2929483
14929,6500,326,0.2929483
14947,6500,326,0.2929483
14967,6500,339,0.2720234
14983,6500,339,0.2720234
14993,6500,339,0.2720234
15020,6500,339,0.2720234
15045,6500,339,0.2720234
15060,6500,339,0.2720234
15066,6500,339,0.2720234
15091,6500,339,0.2720234
15107,6500,339,0.2720234
15125,6500,339,0.2720234
15138,6500,339,0.2720234
15153,6500,339,0.2720234
15169,6500,339,0.2720234
15185,6500,352,0.2720234
15200,6500,352,0.2720234
15215,6500,352,0.2720234
15234,6500,352,0.2720234
15247,6500,352,0.2720234
15263,6500,352,0.2720234
15278,6500,352,0.2720234
15293,6500,352,0.2720234
15309,6500,352,0.2720234
15325,6500,352,0.2720234
15344,6500,352,0.2720234
15356,6500,352,0.2720234
15372,6500,352,0.2720234
15387,6500,366,0.2929483
15403,6500,366,0.2929483
15418,6500,366,0.2929483
15434,6500,366,0.2929483
15454,6500,366,0.2929483
15465,6500,366,0.2929483
15481,6500,366,0.2929483
15497,6500,366,0.2929483
15512,6500,366,0.2929483
15527,6500,366,0.2929483
15543,6500,366,0.2929483
15561,6500,366,0.2929483
15576,6500,379,0.2720234
15588,6500,379,0.2720234
15605,6500,379,0.2720234
15621,6500,379,0.2720234
15636,6500,379,0.2720234
15652,6500,379,0.2720234
15671,6500,379,0.2720234
15683,6500,379,0.2720234
15698,6500,379,0.2720234
15714,6500,379,0.2720234
15729,6500,379,0.2720234
15745,6500,379,0.2720234
15760,6500,379,0.2720234
15776,6500,379,0.2720234
