C# time [ms],DC Motor PWM,Encoder Position [counts],Encoder Velocity [Hz]
5469,0,1,0.02092488
5482,0,1,0.02092488
5498,0,1,0.02092488
5527,0,1,0.02092488
5528,0,1,0.02092488
5543,0,1,0.02092488
5559,0,1,0.02092488
5574,0,1,0.02092488
5590,0,1,0.02092488
5605,0,1,0.02092488
5632,0,1,0
5635,0,1,0
5650,0,1,0
5666,0,1,0
5682,0,1,0
5696,0,1,0
5713,0,1,0
5737,0,1,0
5744,0,1,0
5760,0,1,0
5776,0,1,0
5791,0,1,0
5807,0,1,0
5828,0,1,0
5840,0,1,0
5853,0,1,0
5868,0,1,0
5883,0,1,0
5899,0,1,0
5916,0,1,0
5931,0,1,0
5949,0,1,0
5976,0,1,0
5991,0,1,0
6006,0,1,0
6024,0,1,0
6048,0,2,0.02092488
6052,0,2,0.02092488
6068,0,2,0.02092488
6083,0,2,0.02092488
6098,0,2,0.02092488
6113,0,2,0.02092488
6129,0,2,0.02092488
6144,0,2,0.02092488
6160,0,2,0.02092488
6166,0,2,0.02092488
6191,0,2,0.02092488
6207,0,2,0.02092488
6214,0,2,0.02092488
6247,0,3,0.02092488
6254,0,3,0.02092488
6269,0,3,0.02092488
6280,0,3,0.02092488
6300,0,3,0.02092488
6315,0,3,0.02092488
6332,0,3,0.02092488
6347,0,3,0.02092488
6362,0,3,0.02092488
6379,0,3,0.02092488
6400,0,3,0.02092488
6410,0,3,0.02092488
6425,0,3,0.02092488
6448,0,5,0.04184976
6456,0,5,0.04184976
6472,0,5,0.04184976
6487,0,5,0.04184976
6505,0,5,0.04184976
6517,0,5,0.04184976
6533,0,5,0.04184976
6548,0,5,0.04184976
6564,0,5,0.04184976
6579,0,5,0.04184976
6594,0,5,0.04184976
6615,0,5,0.04184976
6626,0,5,0.04184976
6647,0,8,0.06277464
6657,0,8,0.06277464
6672,0,8,0.06277464
6687,0,8,0.06277464
6703,0,8,0.06277464
6723,0,8,0.06277464
6734,0,8,0.06277464
6743,0,8,0.06277464
6765,0,8,0.06277464
6781,0,8,0.06277464
6797,0,8,0.06277464
6812,0,8,0.06277464
6837,0,11,0.06277464
6843,0,11,0.06277464
6859,0,11,0.06277464
6874,0,11,0.06277464
6890,0,11,0.06277464
6906,0,11,0.06277464
6922,0,11,0.06277464
6939,0,11,0.06277464
6951,0,11,0.06277464
6967,0,11,0.06277464
6982,0,11,0.06277464
6998,0,11,0.06277464
7013,0,11,0.06277464
7028,0,11,0.06277464
7056,0,15,0.08369952
7059,0,15,0.08369952
7075,0,15,0.08369952
7091,0,15,0.08369952
7106,0,15,0.08369952
7122,0,15,0.08369952
7138,0,15,0.08369952
7157,0,15,0.08369952
7170,0,15,0.08369952
7186,0,15,0.08369952
7202,0,15,0.08369952
7217,0,15,0.08369952
7229,0,15,0.08369952
7261,0,21,0.1255493
7271,0,21,0.1255493
7282,0,21,0.1255493
7296,0,21,0.1255493
7312,0,21,0.1255493
7327,0,21,0.1255493
7344,0,21,0.1255493
7356,0,21,0.1255493
7379,0,21,0.1255493
7390,0,21,0.1255493
7405,0,21,0.1255493
7422,0,21,0.1255493
7436,0,21,0.1255493
7465,0,27,0.1255493
7466,0,27,0.1255493
7485,0,27,0.1255493
7498,0,27,0.1255493
7513,0,27,0.1255493
7528,0,27,0.1255493
7543,0,27,0.1255493
7559,0,27,0.1255493
7572,0,27,0.1255493
7597,0,27,0.1255493
7606,0,27,0.1255493
7622,0,27,0.1255493
7638,0,27,0.1255493
7661,0,34,0.1464742
7668,0,34,0.1464742
7683,0,34,0.1464742
7705,0,34,0.1464742
7715,0,34,0.1464742
7731,0,34,0.1464742
7747,0,34,0.1464742
7762,0,34,0.1464742
7777,0,34,0.1464742
7793,0,34,0.1464742
7811,0,34,0.1464742
7825,0,34,0.1464742
7840,0,34,0.1464742
7862,0,42,0.167399
7870,0,42,0.167399
7886,0,42,0.167399
7902,0,42,0.167399
7924,0,42,0.167399
7932,0,42,0.167399
7948,0,42,0.167399
7963,0,42,0.167399
7979,0,42,0.167399
7995,0,42,0.167399
8010,0,42,0.167399
8029,0,42,0.167399
8041,0,42,0.167399
8069,0,50,0.167399
8073,0,50,0.167399
8089,0,50,0.167399
8104,0,50,0.167399
8120,0,50,0.167399
8140,0,50,0.167399
8150,0,50,0.167399
8166,0,50,0.167399
8182,0,50,0.167399
8198,0,50,0.167399
8213,0,50,0.167399
8228,0,50,0.167399
8246,0,50,0.167399
8268,0,59,0.1883239
8274,0,59,0.1883239
8290,0,59,0.1883239
8306,0,59,0.1883239
8321,0,59,0.1883239
8338,0,59,0.1883239
8362,0,59,0.1883239
8368,0,59,0.1883239
8385,0,59,0.1883239
8401,0,59,0.1883239
8416,0,59,0.1883239
8432,0,59,0.1883239
8456,0,69,0.2092488
8467,0,69,0.2092488
8480,0,69,0.2092488
8496,0,69,0.2092488
8511,0,69,0.2092488
8529,0,69,0.2092488
8543,0,69,0.2092488
8559,0,69,0.2092488
8579,0,69,0.2092488
8590,0,69,0.2092488
8605,0,69,0.2092488
8620,0,69,0.2092488
8635,0,69,0.2092488
8651,0,69,0.2092488
8676,0,79,0.2092488
8687,0,79,0.2092488
8698,0,79,0.2092488
8713,0,79,0.2092488
8729,0,79,0.2092488
8745,0,79,0.2092488
8762,0,79,0.2092488
8775,0,79,0.2092488
8795,0,79,0.2092488
8805,0,79,0.2092488
8821,0,79,0.2092488
8851,0,79,0.2092488
8877,0,91,0.2510985
8881,0,91,0.2510985
8897,0,91,0.2510985
8919,0,91,0.2510985
8929,0,91,0.2510985
8944,0,91,0.2510985
8960,0,91,0.2510985
8976,0,91,0.2510985
8992,0,91,0.2510985
9007,0,91,0.2510985
9026,0,91,0.2510985
9038,0,91,0.2510985
9062,0,103,0.2510985
